Name,Position,Chromosome,First Author,Title,Pubmed link,Year,Journal,Trait,p-value,p-value description,Confidence Interval
rs16856332,169840574,2,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (alkaline phosphatase),2.0e-09,"",[1.20-6.70] % increase
rs1976403,21639040,1,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (alkaline phosphatase),2.0e-50,"",[3.0-4.2] % increase
rs754466,79350440,10,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),6.0e-10,"",[2.20-4.80] % increase
rs7310409,121424861,12,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),7.0e-45,"",[5.70-7.80] % increase
rs4074793,52193125,5,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),3.0e-10,"",[3.30-7.70] % increase
rs17145750,73026378,7,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),3.0e-09,"",[2.90-6.30] % increase
rs339969,58670573,15,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),7.0e-20,"",[3.90-5.10] % increase
rs8038465,71765390,15,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),1.0e-09,"",[1.80-3.00] % increase
rs4581712,79055102,16,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),3.0e-09,"",[2.50-3.90] % increase
rs12968116,55322502,18,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),9.0e-10,"",[2.80-6.70] % increase
rs516246,53897984,19,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),8.0e-10,"",[1.80-2.90] % increase
rs1260326,27584444,2,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),4.0e-13,"",[2.40-4.0] % increase
rs2140773,233221419,2,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),1.0e-09,"",[2.30-3.50] % increase
rs10513686,172208236,3,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),6.0e-11,"",[4.00-5.70] % increase
rs1076540,16819958,22,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),1.0e-16,"",[3.50-6.10] % increase
rs9913711,67609756,17,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),1.0e-09,"",[1.80-3.00] % increase
rs944002,102642568,14,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),6.0e-29,"",[4.90-7.70] % increase
rs9296736,54032656,6,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),3.0e-09,"",[2.10-4.00] % increase
rs4547811,146794621,4,Chambers JC,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.,http://www.ncbi.nlm.nih.gov/pubmed/22001757,10/16/2011,Nat Genet,Liver enzyme levels (gamma-glutamyl transferase),3.0e-27,"",[5.00-7.90] % increase
rs3765524,96048288,10,Khor CC,Genome-wide association study identifies susceptibility loci for dengue shock syndrome at MICB and PLCE1.,http://www.ncbi.nlm.nih.gov/pubmed/22001756,10/16/2011,Nat Genet,Dengue shock syndrome ,3.0e-10,"",[1.16-1.33] 
rs3132468,31583465,6,Khor CC,Genome-wide association study identifies susceptibility loci for dengue shock syndrome at MICB and PLCE1.,http://www.ncbi.nlm.nih.gov/pubmed/22001756,10/16/2011,Nat Genet,Dengue shock syndrome ,4.0e-11,"",[1.23-1.46] 
rs4420638,50114786,19,Grallert H,Eight genetic loci associated with variation in lipoprotein-associated phospholipase A2 mass and activity and coronary heart disease: meta-analysis of genome-wide association studies from five community-based studies.,http://www.ncbi.nlm.nih.gov/pubmed/22003152,10/14/2011,Eur Heart J,Lipoprotein-associated phospholipase A2 activity and mass,5.0e-30,(Activity concentrations),[0.044-0.064] unit decrease
rs1805017,46792181,6,Grallert H,Eight genetic loci associated with variation in lipoprotein-associated phospholipase A2 mass and activity and coronary heart disease: meta-analysis of genome-wide association studies from five community-based studies.,http://www.ncbi.nlm.nih.gov/pubmed/22003152,10/14/2011,Eur Heart J,Lipoprotein-associated phospholipase A2 activity and mass,2.0e-23,(Mass concentrations),[0.035-0.051] unit increase
rs7756935,46782984,6,Grallert H,Eight genetic loci associated with variation in lipoprotein-associated phospholipase A2 mass and activity and coronary heart disease: meta-analysis of genome-wide association studies from five community-based studies.,http://www.ncbi.nlm.nih.gov/pubmed/22003152,10/14/2011,Eur Heart J,Lipoprotein-associated phospholipase A2 activity and mass,1.0e-10,(Activity concentrations),[0.019-0.035] unit decrease
rs7528419,109618715,1,Grallert H,Eight genetic loci associated with variation in lipoprotein-associated phospholipase A2 mass and activity and coronary heart disease: meta-analysis of genome-wide association studies from five community-based studies.,http://www.ncbi.nlm.nih.gov/pubmed/22003152,10/14/2011,Eur Heart J,Lipoprotein-associated phospholipase A2 activity and mass,1.0e-17,(Activity concentrations),[0.027-0.043] unit increase
rs6511720,11063306,19,Grallert H,Eight genetic loci associated with variation in lipoprotein-associated phospholipase A2 mass and activity and coronary heart disease: meta-analysis of genome-wide association studies from five community-based studies.,http://www.ncbi.nlm.nih.gov/pubmed/22003152,10/14/2011,Eur Heart J,Lipoprotein-associated phospholipase A2 activity and mass,3.0e-11,(Activity concentrations),[0.031-0.059] unit decrease
rs964184,116648917,11,Grallert H,Eight genetic loci associated with variation in lipoprotein-associated phospholipase A2 mass and activity and coronary heart disease: meta-analysis of genome-wide association studies from five community-based studies.,http://www.ncbi.nlm.nih.gov/pubmed/22003152,10/14/2011,Eur Heart J,Lipoprotein-associated phospholipase A2 activity and mass,8.0e-11,(Activity concentrations),[0.022-0.042] unit decrease
rs1393350,88650694,11,Barrett JH,Genome-wide association study identifies three new melanoma susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/21983787,10/09/2011,Nat Genet,Melanoma,2.0e-13,"",[1.21-1.39] 
rs13016963,201871056,2,Barrett JH,Genome-wide association study identifies three new melanoma susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/21983787,10/09/2011,Nat Genet,Melanoma,9.0e-10,"",[1.09-1.19] 
rs1801516,108175462,11,Barrett JH,Genome-wide association study identifies three new melanoma susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/21983787,10/09/2011,Nat Genet,Melanoma,3.0e-09,"",[1.12-1.27] 
rs258322,88283404,16,Barrett JH,Genome-wide association study identifies three new melanoma susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/21983787,10/09/2011,Nat Genet,Melanoma,3.0e-27,"",[1.54-1.87] 
rs7023329,21806528,9,Barrett JH,Genome-wide association study identifies three new melanoma susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/21983787,10/09/2011,Nat Genet,Melanoma,7.0e-09,"",[1.14-1.28] 
rs45430,41667951,21,Barrett JH,Genome-wide association study identifies three new melanoma susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/21983787,10/09/2011,Nat Genet,Melanoma,3.0e-09,"",[1.09-1.18] 
rs7412746,149127095,1,Macgregor S,Genome-wide association study identifies a new melanoma susceptibility locus at 1q21.3.,http://www.ncbi.nlm.nih.gov/pubmed/21983785,10/09/2011,Nat Genet,Melanoma,9.0e-11,"",[NR] 
rs7850258,99588834,9,Denny JC,Variants near FOXE1 are associated with hypothyroidism and other thyroid conditions: using electronic medical records for genome- and phenome-wide studies.,http://www.ncbi.nlm.nih.gov/pubmed/21981779,10/07/2011,Am J Hum Genet,Hypothyroidism,4.0e-09,(eMERGE),[1.04-1.47] 
rs4954218,135519895,2,Li X,"A genome-wide association study identifies a potential novel gene locus for keratoconus, one of the commonest causes for corneal transplantation in developed countries.",http://www.ncbi.nlm.nih.gov/pubmed/21979947,10/06/2011,Hum Mol Genet,Corneal structure,1.0e-09,"", 
rs7979673,64513524,12,N'Diaye A,"Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.",http://www.ncbi.nlm.nih.gov/pubmed/21998595,10/06/2011,PLoS Genet,Height,7.0e-10,"",[0.038-0.078] unit decrease
rs2351491,87199109,15,N'Diaye A,"Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.",http://www.ncbi.nlm.nih.gov/pubmed/21998595,10/06/2011,PLoS Genet,Height,2.0e-09,"",[0.037-0.077] unit increase
rs6440003,142576899,3,N'Diaye A,"Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.",http://www.ncbi.nlm.nih.gov/pubmed/21998595,10/06/2011,PLoS Genet,Height,2.0e-10,"",[0.045-0.085] unit increase
rs724577,17993410,4,N'Diaye A,"Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.",http://www.ncbi.nlm.nih.gov/pubmed/21998595,10/06/2011,PLoS Genet,Height,1.0e-15,"",[0.051-0.083] unit increase
rs994014,82384814,4,N'Diaye A,"Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.",http://www.ncbi.nlm.nih.gov/pubmed/21998595,10/06/2011,PLoS Genet,Height,8.0e-10,"",[0.036-0.072] unit decrease
rs12393627,2895723,X,N'Diaye A,"Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.",http://www.ncbi.nlm.nih.gov/pubmed/21998595,10/06/2011,PLoS Genet,Height,6.0e-12,"",[0.052-0.092] unit decrease
rs1787200,46587654,18,N'Diaye A,"Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.",http://www.ncbi.nlm.nih.gov/pubmed/21998595,10/06/2011,PLoS Genet,Height,1.0e-10,"",[0.037-0.069] unit increase
rs11658329,59116763,17,N'Diaye A,"Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.",http://www.ncbi.nlm.nih.gov/pubmed/21998595,10/06/2011,PLoS Genet,Height,6.0e-10,"",[0.035-0.071] unit increase
rs9470004,35449828,6,N'Diaye A,"Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.",http://www.ncbi.nlm.nih.gov/pubmed/21998595,10/06/2011,PLoS Genet,Height,1.0e-11,"",[0.057-0.105] unit decrease
rs6258,7475403,17,Ohlsson C,Genetic determinants of serum testosterone concentrations in men.,http://www.ncbi.nlm.nih.gov/pubmed/21998597,10/06/2011,PLoS Genet,Testosterone levels,2.0e-22,(Testosterone),[65.64-98.96] ng/dl decrease
rs12150660,7462640,17,Ohlsson C,Genetic determinants of serum testosterone concentrations in men.,http://www.ncbi.nlm.nih.gov/pubmed/21998597,10/06/2011,PLoS Genet,Testosterone levels,1.0e-41,(Testosterone),[27.29-36.31] ng/dl increase
rs671,112241766,12,Takeuchi F,Genome-wide association study of coronary artery disease in the Japanese.,http://www.ncbi.nlm.nih.gov/pubmed/21971053,10/05/2011,Eur J Hum Genet,Coronary heart disease,2.0e-34,"",[1.35-1.51] 
rs944797,22105286,9,Takeuchi F,Genome-wide association study of coronary artery disease in the Japanese.,http://www.ncbi.nlm.nih.gov/pubmed/21971053,10/05/2011,Eur J Hum Genet,Coronary heart disease,6.0e-16,"",[1.18-1.31] 
rs924043,170379025,6,Bradfield JP,A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.,http://www.ncbi.nlm.nih.gov/pubmed/21980299,09/29/2011,PLoS Genet,Type 1 diabetes,8.0e-09,"",[NR] 
rs1018827,167780630,1,Germain M,Genetics of venous thrombosis: insights from a new genome wide association study.,http://www.ncbi.nlm.nih.gov/pubmed/21980494,09/27/2011,PLoS One,Venous thromboembolism,2.0e-26,"",[NR] 
rs3756008,187185385,4,Germain M,Genetics of venous thrombosis: insights from a new genome wide association study.,http://www.ncbi.nlm.nih.gov/pubmed/21980494,09/27/2011,PLoS One,Venous thromboembolism,6.0e-11,"",[NR] 
rs505922,135139050,9,Germain M,Genetics of venous thrombosis: insights from a new genome wide association study.,http://www.ncbi.nlm.nih.gov/pubmed/21980494,09/27/2011,PLoS One,Venous thromboembolism,1.0e-34,"",[NR] 
rs7659024,155740380,4,Germain M,Genetics of venous thrombosis: insights from a new genome wide association study.,http://www.ncbi.nlm.nih.gov/pubmed/21980494,09/27/2011,PLoS One,Venous thromboembolism,2.0e-13,"",[NR] 
rs1036429,94795559,12,Soler Artigas M,Genome-wide association and large-scale follow up identifies 16 new loci influencing lung function.,http://www.ncbi.nlm.nih.gov/pubmed/21946350,09/25/2011,Nat Genet,Pulmonary function,2.0e-11,(FEV1/FVC),[0.026-0.050] unit increase
rs1529672,25495586,3,Soler Artigas M,Genome-wide association and large-scale follow up identifies 16 new loci influencing lung function.,http://www.ncbi.nlm.nih.gov/pubmed/21946350,09/25/2011,Nat Genet,Pulmonary function,4.0e-14,(FEV1/FVC),[0.036-0.060] unit decrease
rs7068966,12317998,10,Soler Artigas M,Genome-wide association and large-scale follow up identifies 16 new loci influencing lung function.,http://www.ncbi.nlm.nih.gov/pubmed/21946350,09/25/2011,Nat Genet,Pulmonary function,3.0e-12,(FEV1),[0.021-0.037] unit increase
rs2857595,31676448,6,Soler Artigas M,Genome-wide association and large-scale follow up identifies 16 new loci influencing lung function.,http://www.ncbi.nlm.nih.gov/pubmed/21946350,09/25/2011,Nat Genet,Pulmonary function,2.0e-10,(FEV1/FVC),[0.025-0.049] unit increase
rs2798641,109268050,6,Soler Artigas M,Genome-wide association and large-scale follow up identifies 16 new loci influencing lung function.,http://www.ncbi.nlm.nih.gov/pubmed/21946350,09/25/2011,Nat Genet,Pulmonary function,8.0e-09,(FEV1/FVC),[0.027-0.055] unit decrease
rs11001819,77985230,10,Soler Artigas M,Genome-wide association and large-scale follow up identifies 16 new loci influencing lung function.,http://www.ncbi.nlm.nih.gov/pubmed/21946350,09/25/2011,Nat Genet,Pulmonary function,3.0e-12,(FEV1),[0.021-0.037] unit decrease
rs6511720,11063306,19,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,5.0e-11,(LDL),[0.10-0.19] mmol/l decrease
rs660240,109619361,1,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,2.0e-22,(LDL),[0.14-0.20] mmol/l decrease
rs2437258,17931828,10,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,3.0e-10,(AST),[0.071-0.133] units/l increase
rs3213545,121471337,12,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,4.0e-15,(GGT),[0.092-0.150] units/l decrease
rs10468017,56465804,15,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,3.0e-12,(HDL),[0.075-0.133] mmol/l increase
rs173539,56988044,16,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,3.0e-65,(HDL),[0.23-0.28] mmol/l increase
rs2075650,50087459,19,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,2.0e-14,(LDL),[0.11-0.19] mmol/l increase
rs11754288,25884928,6,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,4.0e-09,(UA),[0.057-0.111] umol/l decrease
rs1800562,26201120,6,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,5.0e-12,(FERR),[0.13-0.23] mg/l increase
rs508487,117075566,11,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,2.0e-10,(TRIG),[0.16-0.31] mmol/l increase
rs10199768,21097505,2,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,8.0e-15,(LDL),[0.083-0.137] mmol/l increase
rs1803274,166973974,3,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,6.0e-92,(BCHE),[0.33-0.40] units/l decrease
rs7671266,10056376,4,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,9.0e-71,(UA),[0.27-0.34] umol/l decrease
rs4698036,10331294,4,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,2.0e-52,(UA),[0.22-0.29] umol/l decrease
rs17091905,19894037,8,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,5.0e-15,(TRIG),[0.13-0.22] mmol/l decrease
rs2199936,89264355,4,Middelberg RP,"Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits.",http://www.ncbi.nlm.nih.gov/pubmed/21943158,09/24/2011,BMC Med Genet,Cardiovascular disease risk factors,2.0e-17,(UA),[0.14-0.23] umol/l increase
rs2021722,30282110,6,Ripke S,Genome-wide association study identifies five new schizophrenia loci.,http://www.ncbi.nlm.nih.gov/pubmed/21926974,09/18/2011,Nat Genet,Schizophrenia,2.0e-12,"",[1.11-1.19] 
rs1625579,98275522,1,Ripke S,Genome-wide association study identifies five new schizophrenia loci.,http://www.ncbi.nlm.nih.gov/pubmed/21926974,09/18/2011,Nat Genet,Schizophrenia,2.0e-11,"",[1.09-1.16] 
rs13278062,23138916,8,Arakawa S,Genome-wide association study identifies two susceptibility loci for exudative age-related macular degeneration in the Japanese population.,http://www.ncbi.nlm.nih.gov/pubmed/21909106,09/11/2011,Nat Genet,Age-related macular degeneration,1.0e-12,"",[1.25-1.49] 
rs11781551,123477272,8,Bis JC,Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.,http://www.ncbi.nlm.nih.gov/pubmed/21909108,09/11/2011,Nat Genet,Carotid intima media thickness,2.0e-11,(cIMT),[0.01-0.01] unit decrease
rs1878406,148613114,4,Bis JC,Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.,http://www.ncbi.nlm.nih.gov/pubmed/21909108,09/11/2011,Nat Genet,Carotid intima media thickness,7.0e-12,(Plaque),[0.14-0.26] unit increase
rs17398575,106196688,7,Bis JC,Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.,http://www.ncbi.nlm.nih.gov/pubmed/21909108,09/11/2011,Nat Genet,Carotid intima media thickness,2.0e-12,(Plaque),[0.11-0.21] unit increase
rs13107325,103188709,4,Ehret GB,Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.,http://www.ncbi.nlm.nih.gov/pubmed/21909115,09/11/2011,Nature,Systolic blood pressure,3.0e-14,"",[NR] mmHg decrease
rs1799945,26199158,6,Ehret GB,Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.,http://www.ncbi.nlm.nih.gov/pubmed/21909115,09/11/2011,Nature,Systolic blood pressure,8.0e-12,"",[NR] mmHg increase
rs1327235,10917030,20,Ehret GB,Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.,http://www.ncbi.nlm.nih.gov/pubmed/21909115,09/11/2011,Nature,Diastolic blood pressure,1.0e-15,"",[NR] mmHg increase
rs805303,31724345,6,Ehret GB,Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.,http://www.ncbi.nlm.nih.gov/pubmed/21909115,09/11/2011,Nature,Systolic blood pressure,2.0e-11,"",[NR] mmHg increase
rs1173771,32850785,5,Ehret GB,Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.,http://www.ncbi.nlm.nih.gov/pubmed/21909115,09/11/2011,Nature,Systolic blood pressure,2.0e-16,"",[NR] mmHg increase
rs3184504,111884608,12,Ehret GB,Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.,http://www.ncbi.nlm.nih.gov/pubmed/21909115,09/11/2011,Nature,Diastolic blood pressure,4.0e-25,"",[NR] mmHg increase
rs1378942,72864420,15,Ehret GB,Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.,http://www.ncbi.nlm.nih.gov/pubmed/21909115,09/11/2011,Nature,Systolic blood pressure,6.0e-23,"",[NR] mmHg increase
rs2932538,113018066,1,Ehret GB,Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.,http://www.ncbi.nlm.nih.gov/pubmed/21909115,09/11/2011,Nature,Systolic blood pressure,1.0e-09,"",[NR] mmHg increase
rs1458038,81383747,4,Ehret GB,Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.,http://www.ncbi.nlm.nih.gov/pubmed/21909115,09/11/2011,Nature,Systolic blood pressure,2.0e-23,"",[NR] mmHg increase
rs11191548,104836168,10,Ehret GB,Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.,http://www.ncbi.nlm.nih.gov/pubmed/21909115,09/11/2011,Nature,Systolic blood pressure,7.0e-26,"",[NR] mmHg increase
rs17608766,42368270,17,Ehret GB,Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.,http://www.ncbi.nlm.nih.gov/pubmed/21909115,09/11/2011,Nature,Systolic blood pressure,1.0e-10,"",[NR] mmHg decrease
rs7129220,10307114,11,Ehret GB,Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.,http://www.ncbi.nlm.nih.gov/pubmed/21909115,09/11/2011,Nature,Systolic blood pressure,3.0e-12,"",[NR] mmHg decrease
rs2074356,112645401,12,Kim YJ,Large-scale genome-wide association studies in East Asians identify new genetic loci influencing metabolic traits.,http://www.ncbi.nlm.nih.gov/pubmed/21909109,09/11/2011,Nat Genet,HDL cholesterol,7.0e-37,"",[0.030-0.040] mg/dL decrease
rs11066453,111850004,12,Kim YJ,Large-scale genome-wide association studies in East Asians identify new genetic loci influencing metabolic traits.,http://www.ncbi.nlm.nih.gov/pubmed/21909109,09/11/2011,Nat Genet,Gamma glutamyl transpeptidase,6.0e-44,"",[0.0083-0.0111] IU/L increase
rs4835265,146821410,4,Kim YJ,Large-scale genome-wide association studies in East Asians identify new genetic loci influencing metabolic traits.,http://www.ncbi.nlm.nih.gov/pubmed/21909109,09/11/2011,Nat Genet,Gamma glutamyl transpeptidase,1.0e-14,"",[0.0031-0.0055] IU/L decrease
rs12539316,72977898,7,Kim YJ,Large-scale genome-wide association studies in East Asians identify new genetic loci influencing metabolic traits.,http://www.ncbi.nlm.nih.gov/pubmed/21909109,09/11/2011,Nat Genet,Gamma glutamyl transpeptidase,6.0e-10,"",[0.0035-0.0067] IU/L increase
rs2393791,121423956,12,Kim YJ,Large-scale genome-wide association studies in East Asians identify new genetic loci influencing metabolic traits.,http://www.ncbi.nlm.nih.gov/pubmed/21909109,09/11/2011,Nat Genet,Gamma glutamyl transpeptidase,7.0e-30,"",[0.0062-0.0090] IU/L increase
rs12229654,109898844,12,Kim YJ,Large-scale genome-wide association studies in East Asians identify new genetic loci influencing metabolic traits.,http://www.ncbi.nlm.nih.gov/pubmed/21909109,09/11/2011,Nat Genet,HDL cholesterol,3.0e-23,"",[0.023-0.033] mg/dL decrease
rs4820599,23320213,22,Kim YJ,Large-scale genome-wide association studies in East Asians identify new genetic loci influencing metabolic traits.,http://www.ncbi.nlm.nih.gov/pubmed/21909109,09/11/2011,Nat Genet,Gamma glutamyl transpeptidase,7.0e-53,"",[0.0076-0.0100] IU/L decrease
